pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value
1.45.45.5,1,45,45,5,44.93
1.45.45.6,1,45,45,6,35.63
1.45.45.7,1,45,45,7,2.61
1.46.46.1,1,46,46,1,12.42
1.46.46.2,1,46,46,2,3.92
1.46.46.3,1,46,46,3,7.4
1.46.46.4,1,46,46,4,10.86
1.46.46.5,1,46,46,5,35.4
1.46.46.6,1,46,46,6,25.27
1.46.46.7,1,46,46,7,4.72
1.47.47.1,1,47,47,1,5.24
1.47.47.2,1,47,47,2,2.44
1.47.47.3,1,47,47,3,3.31
1.47.47.4,1,47,47,4,12.66
1.47.47.5,1,47,47,5,41.77
1.47.47.6,1,47,47,6,30.13
1.47.47.7,1,47,47,7,4.46
1.48.48.8,1,48,48,8,6.2
1.48.48.9,1,48,48,9,0.64
1.48.48.10,1,48,48,10,0.64
1.48.48.11,1,48,48,11,0.06
1.48.48.12,1,48,48,12,6
1.48.48.13,1,48,48,13,11
1.48.48.14,1,48,48,14,7.6
1.49.49.1,1,49,49,1,13.17
1.49.49.2,1,49,49,2,1.53
1.49.49.3,1,49,49,3,7.33
1.49.49.4,1,49,49,4,14.5
1.49.49.5,1,49,49,5,36.52
1.49.49.6,1,49,49,6,22.53
1.49.49.7,1,49,49,7,4.42
1.50.50.8,1,50,50,8,4.8
1.50.50.12,1,50,50,12,4.3
1.50.50.13,1,50,50,13,11
1.50.50.14,1,50,50,14,2.8
1.51.51.8,1,51,51,8,6.5
1.51.51.9,1,51,51,9,0.66
1.51.51.10,1,51,51,10,0.66
1.51.51.11,1,51,51,11,0.06
1.51.51.12,1,51,51,12,12.5
1.51.51.13,1,51,51,13,10
1.51.51.14,1,51,51,14,8.5
1.52.52.8,1,52,52,8,5.1
1.52.52.9,1,52,52,9,0.71
1.52.52.10,1,52,52,10,0.71
1.52.52.11,1,52,52,11,0.07
1.52.52.12,1,52,52,12,2.9
1.52.52.13,1,52,52,13,15
1.52.52.14,1,52,52,14,4.7
1.53.53.1,1,53,53,1,9.39
1.53.53.2,1,53,53,2,6.13
1.53.53.3,1,53,53,3,7.96
1.53.53.4,1,53,53,4,15.9
1.53.53.5,1,53,53,5,35.45
1.53.53.6,1,53,53,6,20.5
1.53.53.7,1,53,53,7,4.68
1.54.54.8,1,54,54,8,5.5
1.54.54.12,1,54,54,12,3.9
1.54.54.13,1,54,54,13,13
1.54.54.14,1,54,54,14,3.1
1.55.55.8,1,55,55,8,6.5
1.55.55.12,1,55,55,12,6.9
1.55.55.13,1,55,55,13,15
1.55.55.14,1,55,55,14,3.6
1.56.56.8,1,56,56,8,6.8
1.56.56.12,1,56,56,12,5
1.56.56.13,1,56,56,13,10
1.56.56.14,1,56,56,14,4.7
1.57.57.8,1,57,57,8,6.8
1.57.57.9,1,57,57,9,0.71
1.57.57.10,1,57,57,10,0.71
1.57.57.11,1,57,57,11,0.07
1.57.57.12,1,57,57,12,8.4
1.57.57.13,1,57,57,13,8
1.57.57.14,1,57,57,14,7
1.58.58.8,1,58,58,8,6.4
1.58.58.9,1,58,58,9,0.79
1.58.58.10,1,58,58,10,0.8
1.58.58.11,1,58,58,11,0.08
1.58.58.12,1,58,58,12,5.2
1.58.58.13,1,58,58,13,14
1.58.58.14,1,58,58,14,5.4
1.59.59.8,1,59,59,8,7
1.59.59.9,1,59,59,9,0.95
1.59.59.10,1,59,59,10,0.95
1.59.59.11,1,59,59,11,0.1
1.59.59.12,1,59,59,12,5.2
1.59.59.13,1,59,59,13,16
1.59.59.14,1,59,59,14,7.1
1.60.60.8,1,60,60,8,4.7
1.60.60.12,1,60,60,12,4.9
1.60.60.13,1,60,60,13,3
1.60.60.14,1,60,60,14,4.2
1.61.61.8,1,61,61,8,6.2
1.61.61.9,1,61,61,9,0.77
1.61.61.10,1,61,61,10,0.79
1.61.61.11,1,61,61,11,0.08
1.61.61.12,1,61,61,12,7.5
1.61.61.13,1,61,61,13,13
1.61.61.14,1,61,61,14,6.2
1.62.62.8,1,62,62,8,7
1.62.62.9,1,62,62,9,0.87
1.62.62.10,1,62,62,10,1.07
1.62.62.11,1,62,62,11,0.1
1.62.62.12,1,62,62,12,7.2
1.62.62.13,1,62,62,13,14
1.62.62.14,1,62,62,14,3.4
1.63.63.8,1,63,63,8,6.2
1.63.63.12,1,63,63,12,6.7
1.63.63.13,1,63,63,13,14
1.63.63.14,1,63,63,14,7
1.64.64.1,1,64,64,1,4.99
1.64.64.2,1,64,64,2,0.93
1.64.64.3,1,64,64,3,7.77
1.64.64.4,1,64,64,4,11.16
1.64.64.5,1,64,64,5,42.95
1.64.64.6,1,64,64,6,28.8
1.64.64.7,1,64,64,7,3.41
1.65.65.8,1,65,65,8,5.8
1.65.65.9,1,65,65,9,0.8
1.65.65.10,1,65,65,10,0.8
1.65.65.11,1,65,65,11,0.08
1.65.65.12,1,65,65,12,4.5
1.65.65.13,1,65,65,13,14
1.65.65.14,1,65,65,14,9
1.66.66.8,1,66,66,8,5.6
1.66.66.9,1,66,66,9,0.93
1.66.66.10,1,66,66,10,0.95
1.66.66.11,1,66,66,11,0.1
1.66.66.12,1,66,66,12,9
1.66.66.13,1,66,66,13,18
1.66.66.14,1,66,66,14,9
1.67.67.1,1,67,67,1,3.71
1.67.67.2,1,67,67,2,0.05
1.67.67.3,1,67,67,3,2.49
1.67.67.4,1,67,67,4,11.62
1.67.67.5,1,67,67,5,62.22
1.67.67.6,1,67,67,6,18.24
1.67.67.7,1,67,67,7,1.65
1.68.68.1,1,68,68,1,2.8
1.68.68.2,1,68,68,2,0.09
1.68.68.3,1,68,68,3,3.5
1.68.68.4,1,68,68,4,10.44
1.68.68.5,1,68,68,5,63.43
1.68.68.6,1,68,68,6,18.41
1.68.68.7,1,68,68,7,1.33
1.69.69.1,1,69,69,1,14.62
1.69.69.2,1,69,69,2,5.86
1.69.69.3,1,69,69,3,6.41
1.69.69.4,1,69,69,4,11.75
1.69.69.5,1,69,69,5,35.46
1.69.69.6,1,69,69,6,21.6
1.69.69.7,1,69,69,7,4.32
1.70.70.8,1,70,70,8,5.6
1.70.70.9,1,70,70,9,0.63
1.70.70.10,1,70,70,10,0.66
1.70.70.11,1,70,70,11,0.07
1.70.70.13,1,70,70,13,13
1.70.70.14,1,70,70,14,9.3
1.71.71.8,1,71,71,8,3.9
1.71.71.12,1,71,71,12,6.4
1.71.71.13,1,71,71,13,7
1.71.71.14,1,71,71,14,1.5
1.72.72.8,1,72,72,8,6.5
1.72.72.9,1,72,72,9,0.84
1.72.72.10,1,72,72,10,0.87
1.72.72.11,1,72,72,11,0.09
1.72.72.12,1,72,72,12,9.6
1.72.72.13,1,72,72,13,10
1.72.72.14,1,72,72,14,3.4
1.73.73.8,1,73,73,8,4.2
1.73.73.12,1,73,73,12,6.5
1.73.73.13,1,73,73,13,9
1.73.73.14,1,73,73,14,1.9
1.74.74.8,1,74,74,8,6.3
1.74.74.12,1,74,74,12,6.2
1.74.74.13,1,74,74,13,8
1.74.74.14,1,74,74,14,6.3
1.75.75.8,1,75,75,8,3.9
1.75.75.9,1,75,75,9,0.99
1.75.75.10,1,75,75,10,1.01
1.75.75.11,1,75,75,11,0.09
1.75.75.12,1,75,75,12,8.8
1.75.75.13,1,75,75,13,8
1.75.75.14,1,75,75,14,1.5
1.76.76.8,1,76,76,8,5.5
1.76.76.9,1,76,76,9,0.83
1.76.76.10,1,76,76,10,0.84
1.76.76.11,1,76,76,11,0.09
1.76.76.12,1,76,76,12,2.8
1.76.76.13,1,76,76,13,12
1.76.76.14,1,76,76,14,6.2
1.77.77.8,1,77,77,8,6.1
1.77.77.9,1,77,77,9,0.8
1.77.77.10,1,77,77,10,0.81
1.77.77.11,1,77,77,11,0.08
1.77.77.12,1,77,77,12,4.2
1.77.77.13,1,77,77,13,9
1.77.77.14,1,77,77,14,8.7
1.78.78.8,1,78,78,8,5.9
1.78.78.9,1,78,78,9,0.8
1.78.78.10,1,78,78,10,0.83
1.78.78.11,1,78,78,11,0.08
1.78.78.12,1,78,78,12,6.5
1.78.78.13,1,78,78,13,16
1.78.78.14,1,78,78,14,6.1
1.79.79.8,1,79,79,8,5.4
1.79.79.12,1,79,79,12,5.5
1.79.79.13,1,79,79,13,15
1.79.79.14,1,79,79,14,1.9
1.80.80.8,1,80,80,8,6.1
1.80.80.9,1,80,80,9,0.6
1.80.80.10,1,80,80,10,0.63
1.80.80.11,1,80,80,11,0.06
1.80.80.12,1,80,80,12,10.2
1.80.80.13,1,80,80,13,8
1.80.80.14,1,80,80,14,6.7
1.81.81.1,1,81,81,1,4.09
1.81.81.2,1,81,81,2,1.26
1.81.81.3,1,81,81,3,2.01
1.81.81.4,1,81,81,4,4.22
1.81.81.5,1,81,81,5,36.75
1.81.81.6,1,81,81,6,48.55
1.81.81.7,1,81,81,7,3.12
1.82.82.8,1,82,82,8,4.9
1.82.82.12,1,82,82,12,4
1.82.82.13,1,82,82,13,7
1.82.82.14,1,82,82,14,3
1.83.83.1,1,83,83,1,4.46
1.83.83.2,1,83,83,2,1.13
1.83.83.3,1,83,83,3,3.16
1.83.83.4,1,83,83,4,9.27
1.83.83.5,1,83,83,5,39.91
1.83.83.6,1,83,83,6,38.74
1.83.83.7,1,83,83,7,3.32
1.84.84.8,1,84,84,8,5.1
1.84.84.9,1,84,84,9,0.81
1.84.84.10,1,84,84,10,0.83
1.84.84.11,1,84,84,11,0.08
1.84.84.12,1,84,84,12,6.6
1.84.84.13,1,84,84,13,13
1.84.84.14,1,84,84,14,5
1.85.85.8,1,85,85,8,6.8
1.85.85.12,1,85,85,12,9.8
1.85.85.13,1,85,85,13,6
1.85.85.14,1,85,85,14,2.3
1.86.86.8,1,86,86,8,3.8
1.86.86.9,1,86,86,9,0.8
1.86.86.10,1,86,86,10,0.83
1.86.86.11,1,86,86,11,0.07
1.86.86.12,1,86,86,12,8.2
1.86.86.13,1,86,86,13,7
1.86.86.14,1,86,86,14,1.5
1.87.87.8,1,87,87,8,6.9
1.87.87.9,1,87,87,9,0.53
1.87.87.10,1,87,87,10,0.54
1.87.87.11,1,87,87,11,0.05
1.87.87.12,1,87,87,12,7.5
1.87.87.13,1,87,87,13,8
1.87.87.14,1,87,87,14,3.6
1.88.88.8,1,88,88,8,4.5
1.88.88.9,1,88,88,9,0.64
1.88.88.10,1,88,88,10,0.64
1.88.88.11,1,88,88,11,0.06
1.88.88.12,1,88,88,12,4.9
1.88.88.13,1,88,88,13,8
1.88.88.14,1,88,88,14,2
1.89.89.8,1,89,89,8,6.9
1.89.89.9,1,89,89,9,0.66
1.89.89.10,1,89,89,10,0.66
1.89.89.11,1,89,89,11,0.07
1.89.89.12,1,89,89,12,6.6
1.89.89.13,1,89,89,13,9
1.89.89.14,1,89,89,14,2.2
1.90.90.8,1,90,90,8,4.8
1.90.90.12,1,90,90,12,7.4
1.90.90.13,1,90,90,13,7
1.90.90.14,1,90,90,14,3
1.91.91.8,1,91,91,8,6.9
1.91.91.12,1,91,91,12,9.1
1.91.91.13,1,91,91,13,14
1.91.91.14,1,91,91,14,3
1.92.92.8,1,92,92,8,4.6
1.92.92.9,1,92,92,9,0.66
1.92.92.10,1,92,92,10,0.68
1.92.92.11,1,92,92,11,0.06
1.92.92.12,1,92,92,12,5
1.92.92.13,1,92,92,13,9
1.92.92.14,1,92,92,14,2
1.93.93.8,1,93,93,8,5.5
1.93.93.9,1,93,93,9,0.83
1.93.93.10,1,93,93,10,0.86
1.93.93.11,1,93,93,11,0.07
1.93.93.12,1,93,93,12,7.4
1.93.93.13,1,93,93,13,8
1.93.93.14,1,93,93,14,7.7
1.94.94.8,1,94,94,8,7.3
1.94.94.12,1,94,94,12,11.1
1.94.94.13,1,94,94,13,13
1.94.94.14,1,94,94,14,2.7
1.95.95.8,1,95,95,8,6.7
1.95.95.9,1,95,95,9,0.71
1.95.95.10,1,95,95,10,0.82
1.95.95.11,1,95,95,11,0.07
1.95.95.12,1,95,95,12,10
1.95.95.13,1,95,95,13,12
1.95.95.14,1,95,95,14,2.1
1.96.96.1,1,96,96,1,2.94
1.96.96.2,1,96,96,2,1.29
1.96.96.3,1,96,96,3,2.8
1.96.96.4,1,96,96,4,7.8
1.96.96.5,1,96,96,5,40.4
1.96.96.6,1,96,96,6,40.81
1.96.96.7,1,96,96,7,3.96
1.97.97.1,1,97,97,1,5.08
1.97.97.2,1,97,97,2,0.14
1.97.97.3,1,97,97,3,2.46
1.97.97.4,1,97,97,4,9.51
1.97.97.5,1,97,97,5,51.7
1.97.97.6,1,97,97,6,28.98
1.97.97.7,1,97,97,7,2.13
1.98.98.8,1,98,98,8,7
1.98.98.12,1,98,98,12,9.3
1.98.98.13,1,98,98,13,8
1.98.98.14,1,98,98,14,2.7
1.99.99.8,1,99,99,8,7.2
1.99.99.12,1,99,99,12,8.2
1.99.99.13,1,99,99,13,9
1.99.99.14,1,99,99,14,2.8
1.100.100.8,1,100,100,8,6.1
1.100.100.9,1,100,100,9,0.61
1.100.100.10,1,100,100,10,0.64
1.100.100.11,1,100,100,11,0.06
1.100.100.12,1,100,100,12,4.7
1.100.100.13,1,100,100,13,8
1.100.100.14,1,100,100,14,6.4
1.101.101.8,1,101,101,8,7.1
1.101.101.12,1,101,101,12,5.3
1.101.101.13,1,101,101,13,10
1.101.101.14,1,101,101,14,2.3
1.102.102.1,1,102,102,1,1.67
1.102.102.2,1,102,102,2,1
1.102.102.3,1,102,102,3,1.37
1.102.102.4,1,102,102,4,5.28
1.102.102.5,1,102,102,5,54.3
1.102.102.6,1,102,102,6,31.99
1.102.102.7,1,102,102,7,4.38
1.103.103.1,1,103,103,1,2.09
1.103.103.2,1,103,103,2,0.41
1.103.103.3,1,103,103,3,0.86
1.103.103.4,1,103,103,4,4.21
1.103.103.5,1,103,103,5,55.2
1.103.103.6,1,103,103,6,33.52
1.103.103.7,1,103,103,7,3.71
1.104.104.8,1,104,104,8,5.3
1.104.104.9,1,104,104,9,0.61
1.104.104.10,1,104,104,10,0.64
1.104.104.11,1,104,104,11,0.06
1.104.104.12,1,104,104,12,6.3
1.104.104.13,1,104,104,13,8
1.104.104.14,1,104,104,14,4.5
1.105.105.8,1,105,105,8,4.2
1.105.105.12,1,105,105,12,4.1
1.105.105.13,1,105,105,13,13
1.105.105.14,1,105,105,14,4.4
1.106.106.8,1,106,106,8,6.6
1.106.106.9,1,106,106,9,0.84
1.106.106.10,1,106,106,10,0.85
1.106.106.11,1,106,106,11,0.09
1.106.106.12,1,106,106,12,2.6
1.106.106.13,1,106,106,13,15
1.106.106.14,1,106,106,14,9.4
1.107.107.8,1,107,107,8,5.8
1.107.107.9,1,107,107,9,0.57
1.107.107.10,1,107,107,10,0.58
1.107.107.11,1,107,107,11,0.05
1.107.107.12,1,107,107,12,7.1
1.107.107.13,1,107,107,13,7
1.107.107.14,1,107,107,14,5.8
1.108.108.8,1,108,108,8,4.4
1.108.108.12,1,108,108,12,4.3
1.108.108.13,1,108,108,13,6
1.108.108.14,1,108,108,14,1.5
1.109.109.8,1,109,109,8,4.3
1.109.109.9,1,109,109,9,0.73
1.109.109.10,1,109,109,10,0.74
1.109.109.11,1,109,109,11,0.07
1.109.109.12,1,109,109,12,4.5
1.109.109.13,1,109,109,13,7
1.109.109.14,1,109,109,14,1.6
1.110.110.8,1,110,110,8,4.9
1.110.110.9,1,110,110,9,0.75
1.110.110.10,1,110,110,10,0.76
1.110.110.11,1,110,110,11,0.08
1.110.110.12,1,110,110,12,4.8
1.110.110.13,1,110,110,13,14
1.110.110.14,1,110,110,14,3.3
1.111.111.8,1,111,111,8,4.5
1.111.111.12,1,111,111,12,4.2
1.111.111.13,1,111,111,13,8
1.111.111.14,1,111,111,14,2.5
1.112.112.8,1,112,112,8,6.8
1.112.112.12,1,112,112,12,4.6
1.112.112.13,1,112,112,13,11
1.112.112.14,1,112,112,14,6
1.113.113.8,1,113,113,8,6.7
1.113.113.9,1,113,113,9,0.73
1.113.113.10,1,113,113,10,0.75
1.113.113.11,1,113,113,11,0.08
1.113.113.12,1,113,113,12,2.5
1.113.113.13,1,113,113,13,11
1.113.113.14,1,113,113,14,6.2
1.114.114.8,1,114,114,8,6.7
1.114.114.9,1,114,114,9,0.71
1.114.114.10,1,114,114,10,0.71
1.114.114.11,1,114,114,11,0.08
1.114.114.12,1,114,114,12,3.9
1.114.114.13,1,114,114,13,14
1.114.114.14,1,114,114,14,7.7
1.115.115.8,1,115,115,8,6.5
